RECORDING_SESSION_LABEL,TRIAL_INDEX,image,experiment,n_fix,fix_mean,fix_max,norm_fix_mean,norm_fix_max,x_regressions,y_regressions,up_freq,down_freq,left_freq,right_freq,min_duration,avg_duration,max_duration,min_vel,avg_vel,max_vel,min_ampl,avg_ampl,max_ampl,min_angle,avg_angle,max_angle,min_distance,avg_distance,max_distance,min_slope,avg_slope,max_slope
2,1,NamingWITHinterference.jpg,2,77,292.5974025974026,1294,0.2261185491479155,1,29,34,0.0625,0.0390625,0.3216145833333333,0.5677083333333334,16,60.03125,1402,1.1,96.54494791666669,318.38,0.11,5.2562109375,28.63,-179.84,2.2134114583333333,180.0,3.6138621999185374,178.369291134337,1319.2502908849406,-3.140536687773202,-0.0307059297338457,3.141592653589793
11,1,NamingWITHinterference.jpg,2,83,242.8915662650602,946,0.256756412542347,1,34,38,0.0625,0.0390625,0.3216145833333333,0.5677083333333334,16,60.03125,1402,1.1,96.54494791666669,318.38,0.11,5.2562109375,28.63,-179.84,2.2134114583333333,180.0,3.6138621999185374,178.369291134337,1319.2502908849406,-3.140536687773202,-0.0307059297338457,3.141592653589793
19,1,NamingWITHinterference.jpg,2,73,355.4794520547945,1278,0.2781529358801209,1,25,33,0.0625,0.0390625,0.3216145833333333,0.5677083333333334,16,60.03125,1402,1.1,96.54494791666669,318.38,0.11,5.2562109375,28.63,-179.84,2.2134114583333333,180.0,3.6138621999185374,178.369291134337,1319.2502908849406,-3.140536687773202,-0.0307059297338457,3.141592653589793
27,1,NamingWITHinterference.jpg,2,100,331.68,1402,0.2365763195435093,1,34,44,0.0625,0.0390625,0.3216145833333333,0.5677083333333334,16,60.03125,1402,1.1,96.54494791666669,318.38,0.11,5.2562109375,28.63,-179.84,2.2134114583333333,180.0,3.6138621999185374,178.369291134337,1319.2502908849406,-3.140536687773202,-0.0307059297338457,3.141592653589793
37,1,NamingWITHinterference.jpg,2,77,254.0,732,0.3469945355191257,1,22,31,0.0625,0.0390625,0.3216145833333333,0.5677083333333334,16,60.03125,1402,1.1,96.54494791666669,318.38,0.11,5.2562109375,28.63,-179.84,2.2134114583333333,180.0,3.6138621999185374,178.369291134337,1319.2502908849406,-3.140536687773202,-0.0307059297338457,3.141592653589793
45,1,NamingWITHinterference.jpg,2,124,260.3064516129032,1618,0.1608816140994458,1,56,59,0.0625,0.0390625,0.3216145833333333,0.5677083333333334,16,60.03125,1402,1.1,96.54494791666669,318.38,0.11,5.2562109375,28.63,-179.84,2.2134114583333333,180.0,3.6138621999185374,178.369291134337,1319.2502908849406,-3.140536687773202,-0.0307059297338457,3.141592653589793
52,1,NamingWITHinterference.jpg,2,71,333.5492957746479,1060,0.314669146957215,1,29,32,0.0625,0.0390625,0.3216145833333333,0.5677083333333334,16,60.03125,1402,1.1,96.54494791666669,318.38,0.11,5.2562109375,28.63,-179.84,2.2134114583333333,180.0,3.6138621999185374,178.369291134337,1319.2502908849406,-3.140536687773202,-0.0307059297338457,3.141592653589793
61,1,NamingWITHinterference.jpg,2,83,251.9036144578313,1010,0.2494095192651795,1,30,39,0.0625,0.0390625,0.3216145833333333,0.5677083333333334,16,60.03125,1402,1.1,96.54494791666669,318.38,0.11,5.2562109375,28.63,-179.84,2.2134114583333333,180.0,3.6138621999185374,178.369291134337,1319.2502908849406,-3.140536687773202,-0.0307059297338457,3.141592653589793
2,2,NamingWITHOUTinterference.jpg,2,57,281.4035087719298,854,0.3295123053535478,1,20,20,0.0431177446102819,0.0348258706467661,0.3200663349917081,0.5920398009950248,16,55.35986733001658,1484,1.42,103.87519071310116,331.62,0.2,5.823167495854063,30.74,-179.81,-5.356086235489221,180.0,8.61452262171271,198.8245195759205,1308.1291985121347,-3.1370160265044307,0.1010458580787013,3.141592653589793
11,2,NamingWITHOUTinterference.jpg,2,62,239.1612903225806,832,0.2874534739454094,1,21,27,0.0431177446102819,0.0348258706467661,0.3200663349917081,0.5920398009950248,16,55.35986733001658,1484,1.42,103.87519071310116,331.62,0.2,5.823167495854063,30.74,-179.81,-5.356086235489221,180.0,8.61452262171271,198.8245195759205,1308.1291985121347,-3.1370160265044307,0.1010458580787013,3.141592653589793
19,2,NamingWITHOUTinterference.jpg,2,62,286.1612903225807,630,0.4542242703533027,1,23,26,0.0431177446102819,0.0348258706467661,0.3200663349917081,0.5920398009950248,16,55.35986733001658,1484,1.42,103.87519071310116,331.62,0.2,5.823167495854063,30.74,-179.81,-5.356086235489221,180.0,8.61452262171271,198.8245195759205,1308.1291985121347,-3.1370160265044307,0.1010458580787013,3.141592653589793
27,2,NamingWITHOUTinterference.jpg,2,76,334.8684210526316,1660,0.2017279644895371,1,26,34,0.0431177446102819,0.0348258706467661,0.3200663349917081,0.5920398009950248,16,55.35986733001658,1484,1.42,103.87519071310116,331.62,0.2,5.823167495854063,30.74,-179.81,-5.356086235489221,180.0,8.61452262171271,198.8245195759205,1308.1291985121347,-3.1370160265044307,0.1010458580787013,3.141592653589793
37,2,NamingWITHOUTinterference.jpg,2,135,237.7333333333333,1044,0.2277139208173691,1,49,51,0.0431177446102819,0.0348258706467661,0.3200663349917081,0.5920398009950248,16,55.35986733001658,1484,1.42,103.87519071310116,331.62,0.2,5.823167495854063,30.74,-179.81,-5.356086235489221,180.0,8.61452262171271,198.8245195759205,1308.1291985121347,-3.1370160265044307,0.1010458580787013,3.141592653589793
45,2,NamingWITHOUTinterference.jpg,2,56,301.75,1028,0.2935311284046693,1,24,24,0.0431177446102819,0.0348258706467661,0.3200663349917081,0.5920398009950248,16,55.35986733001658,1484,1.42,103.87519071310116,331.62,0.2,5.823167495854063,30.74,-179.81,-5.356086235489221,180.0,8.61452262171271,198.8245195759205,1308.1291985121347,-3.1370160265044307,0.1010458580787013,3.141592653589793
52,2,NamingWITHOUTinterference.jpg,2,49,272.8979591836735,772,0.3534947657819605,1,19,24,0.0431177446102819,0.0348258706467661,0.3200663349917081,0.5920398009950248,16,55.35986733001658,1484,1.42,103.87519071310116,331.62,0.2,5.823167495854063,30.74,-179.81,-5.356086235489221,180.0,8.61452262171271,198.8245195759205,1308.1291985121347,-3.1370160265044307,0.1010458580787013,3.141592653589793
61,2,NamingWITHOUTinterference.jpg,2,55,243.9636363636364,630,0.3872438672438672,1,21,26,0.0431177446102819,0.0348258706467661,0.3200663349917081,0.5920398009950248,16,55.35986733001658,1484,1.42,103.87519071310116,331.62,0.2,5.823167495854063,30.74,-179.81,-5.356086235489221,180.0,8.61452262171271,198.8245195759205,1308.1291985121347,-3.1370160265044307,0.1010458580787013,3.141592653589793
2,3,ReadingWITHOUTinterference.jpg,2,50,256.72,682,0.3764222873900294,1,22,24,0.0664136622390891,0.0474383301707779,0.3358633776091081,0.538899430740038,16,59.74573055028463,2448,1.65,107.74518026565464,331.15,0.14,6.156110056925996,31.95,-179.82,-5.13326375711575,179.79,5.682429058070117,211.35447253926063,1402.812763700131,-3.136617570258938,0.086644239680843,3.137300834447781
11,3,ReadingWITHOUTinterference.jpg,2,66,236.0606060606061,1140,0.2070707070707071,1,27,31,0.0664136622390891,0.0474383301707779,0.3358633776091081,0.538899430740038,16,59.74573055028463,2448,1.65,107.74518026565464,331.15,0.14,6.156110056925996,31.95,-179.82,-5.13326375711575,179.79,5.682429058070117,211.35447253926063,1402.812763700131,-3.136617570258938,0.086644239680843,3.137300834447781
