feature_set,classifier,accuracy,f1_score
Fixation,Random Forest,0.3864253393665158,0.38242671078639046
Fixation,Logistic Regression,0.4294117647058823,0.4215955601415775
Fixation,SVM,0.31606334841628964,0.26811170702520765
Fixation,ANN,0.3592760180995475,0.3239239531004237
Saccades,Random Forest,0.7188536953242834,0.7049852620786876
Saccades,Logistic Regression,0.6678733031674209,0.6452677541604876
Saccades,SVM,0.4101809954751131,0.3622965389028433
Saccades,ANN,0.47684766214177976,0.45060472063084933
Fix + Saccades-norm,Random Forest,0.6567119155354448,0.6524279756477899
Fix + Saccades-norm,Logistic Regression,0.6095022624434389,0.5739549529445492
Fix + Saccades-norm,SVM,0.41809954751131223,0.379392338067873
Fix + Saccades-norm,ANN,0.3524886877828054,0.34274647400085556
