RECORDING_SESSION_LABEL,TRIAL_INDEX,image,experiment,n_fix,fix_mean,fix_max,norm_fix_mean,norm_fix_max,x_regressions,y_regressions
2,1,NamingWITHinterference.jpg,2,77,292.597402597403,1294,0.226118549147915,1,29,34
2,2,NamingWITHOUTinterference.jpg,2,57,281.40350877193,854,0.329512305353548,1,20,20
2,3,ReadingWITHOUTinterference.jpg,2,50,256.72,682,0.376422287390029,1,22,24
2,4,ReadingWITHinterference.jpg,2,44,256.181818181818,636,0.402801600914809,1,17,20
3,1,NamingWITHinterference.jpg,1,82,372.780487804878,1606,0.232117364760198,1,32,40
3,2,NamingWITHOUTinterference.jpg,1,97,317.092783505155,1014,0.312714776632302,1,44,51
3,3,ReadingWITHinterference.jpg,1,53,318.830188679245,956,0.333504381463646,1,20,26
3,4,ReadingWITHOUTinterference.jpg,1,51,297.490196078431,790,0.376569868453711,1,17,18
4,1,NamingWITHOUTinterference.jpg,3,44,287.727272727273,1264,0.227632336018412,1,14,21
4,2,NamingWITHinterference.jpg,3,41,339.609756097561,846,0.401429971746526,1,18,19
4,3,ReadingWITHinterference.jpg,3,62,253.032258064516,764,0.331194055058267,1,25,22
4,4,ReadingWITHOUTinterference.jpg,3,36,262.333333333333,1020,0.25718954248366,1,13,17
5,1,NamingWITHOUTinterference.jpg,4,99,244.686868686869,744,0.328880199847942,1,36,49
5,2,NamingWITHinterference.jpg,4,54,311.740740740741,1276,0.244310925345408,1,19,24
5,3,ReadingWITHOUTinterference.jpg,4,58,241.689655172414,840,0.287725779967159,1,21,29
5,4,ReadingWITHinterference.jpg,4,46,311.913043478261,892,0.349678299863521,1,19,21
6,1,ReadingWITHinterference.jpg,5,92,282,1060,0.266037735849057,1,36,52
6,2,ReadingWITHOUTinterference.jpg,5,77,249.324675324675,1100,0.226658795749705,1,28,39
6,3,NamingWITHinterference.jpg,5,68,334.911764705882,1002,0.334243278149583,1,27,42
6,4,NamingWITHOUTinterference.jpg,5,69,305.594202898551,1130,0.270437347697832,1,28,36
7,1,ReadingWITHinterference.jpg,6,85,304.305882352941,1364,0.223098154217699,1,31,40
7,2,ReadingWITHOUTinterference.jpg,6,51,293.921568627451,738,0.398267708167278,1,20,23
7,3,NamingWITHOUTinterference.jpg,6,83,327.180722891566,1220,0.268180920402923,1,37,37
7,4,NamingWITHinterference.jpg,6,67,356.417910447761,1340,0.265983515259523,1,25,26
8,1,ReadingWITHOUTinterference.jpg,7,95,219.284210526316,636,0.344786494538232,1,38,39
8,2,ReadingWITHinterference.jpg,7,70,223.885714285714,686,0.326364014993753,1,25,31
8,3,NamingWITHinterference.jpg,7,94,216.446808510638,776,0.278926299627111,1,42,44
8,4,NamingWITHOUTinterference.jpg,7,89,228.943820224719,884,0.258986221973664,1,41,45
9,1,ReadingWITHOUTinterference.jpg,8,67,218.597014925373,1114,0.196227122913261,1,28,33
9,2,ReadingWITHinterference.jpg,8,70,196.828571428571,882,0.223161645610625,1,26,31
9,3,NamingWITHOUTinterference.jpg,8,60,231.333333333333,786,0.29431721798134,1,24,25
9,4,NamingWITHinterference.jpg,8,44,292.227272727273,1254,0.233036102653328,1,15,23
10,1,NamingWITHinterference.jpg,1,129,298.558139534884,1268,0.235455946005429,1,60,69
10,2,NamingWITHOUTinterference.jpg,1,83,246.722891566265,688,0.358608854020734,1,34,42
10,3,ReadingWITHinterference.jpg,1,56,246.071428571429,822,0.299356969064998,1,26,26
10,4,ReadingWITHOUTinterference.jpg,1,42,242.190476190476,582,0.416134838815251,1,18,17
11,1,NamingWITHinterference.jpg,2,83,242.89156626506,946,0.256756412542347,1,34,38
11,2,NamingWITHOUTinterference.jpg,2,62,239.161290322581,832,0.287453473945409,1,21,27
11,3,ReadingWITHOUTinterference.jpg,2,66,236.060606060606,1140,0.207070707070707,1,27,31
11,4,ReadingWITHinterference.jpg,2,49,275.102040816326,1648,0.166930850009907,1,15,23
12,1,NamingWITHOUTinterference.jpg,3,78,281.461538461539,1066,0.26403521431664,1,34,42
12,2,NamingWITHinterference.jpg,3,49,380.612244897959,1228,0.309944824835472,1,21,27
12,3,ReadingWITHinterference.jpg,3,49,330.285714285714,896,0.368622448979592,1,22,25
