experiment,image,item,Trial_Index_,CURRENT_SAC_START_X,CURRENT_SAC_START_Y,CURRENT_SAC_END_X,CURRENT_SAC_END_Y,CURRENT_SAC_ANGLE,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_DIRECTION,CURRENT_SAC_DURATION,CURRENT_SAC_INDEX,CURRENT_SAC_END_INTEREST_AREAS,CURRENT_SAC_END_INTEREST_AREA_ID,EYE_USED,CURRENT_SAC_BLINK_DURATION,CURRENT_SAC_BLINK_END,CURRENT_SAC_BLINK_START
1,NamingWITHinterference.jpg,1,1,519.2,412.2,434.6,322.4,141.42,3.39,94.23,LEFT,36,1,[ 6],6,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,434.3,323.6,249.2,303.8,175.39,5.79,131.48,LEFT,44,2,[ 2],2,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,248.3,303.6,108.1,185.0,147.28,5.1,127.41,LEFT,40,3,[ 1],1,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,104.1,191.0,52.8,192.2,-178.97,1.54,55.03,LEFT,28,4,[ 2],2,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,58.8,195.2,176.5,173.3,8.07,3.6,99.91,RIGHT,36,5,[ 1],1,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,187.3,184.1,280.2,178.9,2.42,2.87,95.66,RIGHT,30,6,[ 5],5,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,289.1,180.8,343.9,176.6,3.3,1.71,56.91,RIGHT,30,7,[ 5],5,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,341.3,174.9,403.2,169.5,3.75,1.94,64.52,RIGHT,30,8,[ 5],5,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,401.5,172.9,511.2,169.7,1.25,3.44,90.52,RIGHT,38,9,[ 5],5,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,516.2,175.6,577.0,175.7,-0.07,1.9,59.47,RIGHT,32,10,[ 9],9,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,578.9,179.9,678.8,186.4,-2.8,3.11,59.83,RIGHT,52,11,[ 9],9,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,687.5,188.2,741.7,197.6,-7.47,1.68,56.15,RIGHT,30,12,[ 10],10,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,737.8,195.6,842.2,207.1,-4.8,3.18,88.46,RIGHT,36,13,[ 14],14,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,834.8,210.0,330.9,369.6,-166.49,15.95,221.47,LEFT,72,14,[ 6],6,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,327.1,379.0,188.2,353.6,172.13,4.35,108.87,LEFT,40,15,[ 2],2,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,191.0,346.8,383.0,318.6,6.32,6.02,103.76,RIGHT,58,16,[ 6],6,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,402.5,319.6,163.7,155.6,152.59,8.34,160.41,LEFT,52,17,[ 1],1,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,163.9,152.5,115.5,96.2,138.57,1.97,57.8,LEFT,34,18,"[ 1, 999]",1,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,113.0,106.5,210.2,100.6,2.63,2.97,82.4,RIGHT,36,19,[ 1],1,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,210.8,97.3,404.9,90.2,1.57,6.03,143.58,RIGHT,42,20,[ 5],5,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,413.9,85.6,619.2,268.8,-33.76,7.73,124.66,RIGHT,62,21,[ 10],10,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,626.9,284.2,326.7,236.3,173.15,9.45,168.73,LEFT,56,22,[ 6],6,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,319.9,234.0,367.2,262.0,-23.97,1.62,50.63,RIGHT,32,23,[ 6],6,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,369.7,255.7,606.0,362.7,-18.8,7.81,126.01,RIGHT,62,24,[ 10],10,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,613.7,374.2,387.8,453.7,-165.18,7.31,152.37,LEFT,48,25,[ 7],7,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,377.6,459.1,611.2,279.2,30.07,8.45,156.45,RIGHT,54,26,[ 10],10,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,627.2,263.6,401.1,254.3,178.23,7.09,147.73,LEFT,48,27,[ 6],6,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,393.4,256.1,601.0,269.1,-2.69,6.53,108.75,RIGHT,60,28,[ 10],10,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,613.2,278.8,634.1,264.3,27.6,0.74,33.55,RIGHT,22,29,[ 10],10,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,633.1,270.6,900.9,446.6,-26.64,9.15,134.54,RIGHT,68,30,[ 15],15,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,917.8,454.9,862.6,453.3,178.72,1.66,51.74,LEFT,32,31,[ 15],15,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,859.5,457.4,612.2,278.0,151.15,8.69,188.86,LEFT,46,32,[ 10],10,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,601.4,275.0,397.3,414.7,-152.76,7.21,120.12,LEFT,60,33,[ 7],7,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,397.5,437.2,350.5,462.3,-158.18,1.59,49.83,LEFT,32,34,[ 7],7,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,345.3,457.9,616.4,267.5,27.84,9.63,192.52,RIGHT,50,35,[ 10],10,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,630.5,258.9,379.4,271.9,-177.77,7.85,151.02,LEFT,52,36,[ 6],6,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,383.3,299.3,156.7,183.8,158.95,7.54,145.01,LEFT,52,37,[ 1],1,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,151.4,208.0,131.3,158.7,118.23,1.3,46.48,UP,28,38,[ 1],1,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,136.9,201.6,337.2,415.5,-38.91,7.96,56.84,RIGHT,140,39,[ 7],7,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,347.6,456.1,367.3,489.6,-51.9,0.99,41.44,DOWN,24,40,[ 7],7,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,365.9,503.7,143.1,508.3,-179.11,6.91,138.19,LEFT,50,41,[ 3],3,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,150.6,527.6,394.2,1195.7,-63.59,16.52,168.59,DOWN,98,42,[ ],.,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,421.0,1253.6,390.2,556.0,93.47,15.55,194.35,UP,80,43,[ 7],7,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,376.4,520.0,375.9,475.9,90.87,1.04,47.34,UP,22,44,[ 7],7,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,379.6,489.4,633.5,288.8,30.73,9.26,67.1,RIGHT,138,45,[ 10],10,LEFT,54,12318,12266
1,NamingWITHinterference.jpg,1,1,625.3,283.8,898.9,302.2,-2.93,8.38,126.94,RIGHT,66,46,[ 14],14,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,903.5,299.4,907.4,459.8,-88.18,3.72,92.98,DOWN,40,47,[ 15],15,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,909.7,465.8,626.7,280.5,153.56,9.82,175.28,LEFT,56,48,[ 10],10,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,620.7,281.9,375.9,275.3,178.84,7.75,154.97,LEFT,50,49,[ 6],6,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,375.0,280.1,137.7,269.3,178.03,7.41,148.17,LEFT,50,50,[ 2],2,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,136.2,270.2,489.9,318.2,-5.86,11.08,197.8,RIGHT,56,51,[ 6],6,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,498.4,329.7,638.4,265.2,19.12,4.67,122.81,RIGHT,38,52,[ 10],10,LEFT,.,.,.
1,NamingWITHinterference.jpg,1,1,638.0,280.5,383.9,459.4,-152.06,9.02,161.01,LEFT,56,53,[ 7],7,LEFT,.,.,.
